Dates,,Bank rate,Chartered bank administered interest rates - Prime rate 1,Chartered bank - consumer loan rate (Terminated) 1 2,"Forward premium or discount (-), United States dollars in Canada: 1 month (Terminated)","Forward premium or discount (-), United States dollars in Canada: 3 month (Terminated)",Prime corporate paper rate: 1 month (Terminated) 3 4,Prime corporate paper rate: 2 month (Terminated) 3 4,Prime corporate paper rate: 3 month (Terminated) 3 4,Bankers' acceptances: 1 month (Terminated) 4 5,Bankers' acceptances: 2 month (Terminated) 4 5,Bankers' acceptances: 3 month (Terminated) 4 5,"Overnight money market financing, 7 day average 6",Selected Government of Canada benchmark bond yields: 2 year,Selected Government of Canada benchmark bond yields: 3 year,Selected Government of Canada benchmark bond yields: 5 year,Selected Government of Canada benchmark bond yields: 7 year,Selected Government of Canada benchmark bond yields: 10 year,Selected Government of Canada benchmark bond yields: long term,"Government of Canada marketable bonds, average yield: 1-3 year 7","Government of Canada marketable bonds, average yield: 3-5 year 7","Government of Canada marketable bonds, average yield: 5-10 year 7","Government of Canada marketable bonds, average yield: over 10 years 7",Chartered banks - 90 day term deposits 1,Chartered bank - conventional mortgage: 1 year 1,Chartered bank - conventional mortgage: 3 year 1,Chartered bank - conventional mortgage: 5 year,Chartered bank - 5 year personal fixed term 1,"Chartered bank - daily interest savings (balance over $100,000) 1",Chartered bank - non-chequable savings deposit 1,Chartered bank - Guaranteed Investment Certificates: 1 year 1,Chartered bank - Guaranteed Investment Certificates: 3 year 1,Chartered bank - Guaranteed Investment Certificates: 5 year 1,Treasury Bills: 1 month,Treasury Bills: 2 month,Treasury Bills: 3 month,Treasury Bills: 6 month,Treasury Bills: 1 year,"Real return bonds, long-term"
11-Sep-19,,2,3.95,10.00t,..t,..t,..t,..t,..t,..t,..t,..t,1.7475,1.58,1.52,1.43,1.43,1.42,1.63,1.59,1.47,1.42,1.61,0.05,3.64,3.94,5.19,1.45,0.05,0.05,1.35,1.8,2,1.64,1.63,1.62,1.66,1.7,0.39
18-Sep-19,,2,3.95,10.00t,..t,..t,..t,..t,..t,..t,..t,..t,1.7478,1.6,1.54,1.46,1.45,1.43,1.59,1.61,1.48,1.44,1.58,0.05,3.64,3.94,5.19,1.45,0.05,0.05,1.35,1.8,2,1.63,1.63,1.63,1.67,1.71,0.33
25-Sep-19,,2,3.95,10.00t,..t,..t,..t,..t,..t,..t,..t,..t,1.7454,1.58,1.52,1.42,1.41,1.39,1.57,1.59,1.46,1.4,1.54,0.05,3.64,3.94,5.19,1.45,0.05,0.05,1.35,1.8,2,1.64,1.65,1.64,1.65,1.7,0.3
02-Oct-19,,2,3.95,10.00t,..t,..t,..t,..t,..t,..t,..t,..t,1.7471,1.49,1.43,1.34,1.32,1.32,1.49,1.5,1.37,1.32,1.47,0.05,3.64,3.94,5.19,1.45,0.05,0.05,1.35,1.8,2,1.63,1.65,1.63,1.67,1.69,0.26
09-Oct-19,,2,3.95,10.00t,..t,..t,..t,..t,..t,..t,..t,..t,1.7489,1.47,1.41,1.32,1.31,1.31,1.51,1.49,1.35,1.31,1.48,0.05,3.64,3.94,5.19,1.45,0.05,0.05,1.35,1.8,2,1.65,1.64,1.63,1.65,1.65,0.3
16-Oct-19,,2,3.95,10.00t,..t,..t,..t,..t,..t,..t,..t,..t,1.7482,1.67,1.62,1.56,1.55,1.55,1.67,1.67,1.58,1.56,1.66,0.05,3.64,3.94,5.19,1.45,0.05,0.05,1.35,1.8,2,1.67,1.64,1.7,1.69,1.73,0.44
23-Oct-19,,2,3.95,10.00t,..t,..t,..t,..t,..t,..t,..t,..t,1.7479,1.62,1.6,1.53,1.52,1.52,1.62,1.65,1.55,1.53,1.61,0.05,3.64,3.94,5.19,1.45,0.05,0.05,1.35,1.8,2,1.68,1.69,1.65,1.68,1.72,0.4
30-Oct-19,,2,3.95,10.00t,..t,..t,..t,..t,..t,..t,..t,..t,1.7472,1.56,1.54,1.46,1.45,1.45,1.6,1.59,1.48,1.46,1.6,0.05,3.64,3.94,5.19,1.45,0.05,0.05,1.35,1.8,2,1.69,1.7,1.66,1.71,1.73,0.38
06-Nov-19,,2,3.95,10.00t,..t,..t,..t,..t,..t,..t,..t,..t,1.7482,1.59,1.57,1.53,1.53,1.54,1.68,1.61,1.55,1.54,1.67,0.05,3.64,3.94,5.19,1.45,0.05,0.05,1.35,1.8,2,1.68,1.67,1.67,1.69,1.7,0.41
13-Nov-19,,2,3.95,10.00t,..t,..t,..t,..t,..t,..t,..t,..t,1.7489,1.57,1.57,1.54,1.54,1.55,1.69,1.59,1.55,1.55,1.68,0.05,3.64,3.94,5.19,1.45,0.05,0.05,1.35,1.8,2,1.7,1.69,1.66,1.69,1.69,0.4
